Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote
Central African Republic,<1000 ,<500 , 1000,,1100 ,<1000 , 1800,,1900 ,1200 , 2800,,2800 ,1800 , 4100,,4000 ,2700 , 5700,,5400 ,3600 , 7600,,6900 ,4800 , 9600,,8500 ,6000 , 12 000,,10 000 ,7300 , 13 000,,12 000 ,8500 , 15 000,,13 000 ,9600 , 16 000,,14 000 ,11 000 , 17 000,,14 000 ,11 000 , 17 000,,15 000 ,12 000 , 17 000,,15 000 ,12 000 , 17 000,,14 000 ,12 000 , 17 000,,14 000 ,12 000 , 16 000,,13 000 ,11 000 , 15 000,,11 000 ,9800 , 13 000,,9800 ,8200 , 12 000,,9600 ,7900 , 11 000,,9400 ,7700 , 11 000,,9400 ,7900 , 11 000,,9400 ,8000 , 11 000,,9100 ,7700 , 11 000,,8000 ,6700 , 9500,,7300 ,6000 , 8800,
Chad,<1000 ,<500 , 1400,,1100 ,<1000 , 1800,,1400 ,<1000 , 2200,,1700 ,1100 , 2600,,2100 ,1400 , 3100,,2500 ,1700 , 3600,,2900 ,2000 , 4100,,3400 ,2400 , 4700,,3900 ,2800 , 5300,,4400 ,3200 , 5800,,4900 ,3600 , 6300,,5400 ,4000 , 6900,,5900 ,4500 , 7400,,6400 ,4900 , 8000,,6700 ,5200 , 8300,,6900 ,5400 , 8500,,6700 ,5300 , 8300,,6000 ,4700 , 7500,,5600 ,4400 , 7000,,4000 ,2900 , 5200,,3600 ,2500 , 4700,,3600 ,2500 , 4800,,4000 ,2800 , 5300,,4000 ,2900 , 5300,,4200 ,3100 , 5600,,3600 ,2600 , 4800,,2800 ,1900 , 4000,
Chile,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
China,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Colombia,<200 ,<100 , 1400,,<500 ,<100 , 1500,,<1000 ,<200 , 1800,,<1000 ,<200 , 2000,,1300 ,<500 , 2400,,1800 ,<500 , 2900,,2400 ,<1000 , 3600,,3000 ,1100 , 4200,,3700 ,1600 , 5000,,4400 ,2300 , 5700,,5100 ,3000 , 6500,,5600 ,3800 , 7100,,5800 ,4200 , 7300,,6000 ,4600 , 7500,,6200 ,4800 , 7700,,6300 ,5000 , 7800,,6300 ,5000 , 7800,,5200 ,4000 , 6600,,5000 ,3800 , 6400,,5900 ,4600 , 7600,,6600 ,5200 , 8400,,5800 ,4500 , 7400,,4600 ,3400 , 6100,,4000 ,2800 , 5400,,3600 ,2400 , 4900,,3200 ,2100 , 4600,,2800 ,1700 , 4100,
Comoros,<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers."
Congo,<1000 ,<1000 , 1300,,1300 ,<1000 , 1900,,1800 ,1200 , 2600,,2400 ,1600 , 3400,,3000 ,2100 , 4200,,3600 ,2600 , 5000,,4300 ,3100 , 5700,,4800 ,3700 , 6300,,5400 ,4100 , 6800,,5800 ,4600 , 7200,,6100 ,4900 , 7400,,6200 ,5200 , 7500,,6300 ,5400 , 7400,,6300 ,5400 , 7300,,6200 ,5300 , 7100,,6000 ,5300 , 6900,,5400 ,4700 , 6100,,5300 ,4600 , 5900,,4800 ,4100 , 5400,,3900 ,3300 , 4400,,3700 ,3100 , 4300,,3500 ,3000 , 4100,,3300 ,2700 , 3900,,3500 ,3000 , 4200,,4000 ,3500 , 4700,,4300 ,3700 , 5100,,3800 ,3200 , 4600,
Costa Rica,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,
Croatia,<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services."
Cuba,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,
Cyprus,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Czech Republic,<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers."
Côte d'Ivoire,7900 ,4800 , 13 000,,10 000 ,6500 , 17 000,,13 000 ,8400 , 21 000,,17 000 ,11 000 , 26 000,,21 000 ,13 000 , 31 000,,25 000 ,16 000 , 37 000,,29 000 ,19 000 , 42 000,,33 000 ,22 000 , 47 000,,37 000 ,26 000 , 52 000,,41 000 ,29 000 , 56 000,,44 000 ,32 000 , 58 000,,45 000 ,33 000 , 59 000,,46 000 ,34 000 , 59 000,,47 000 ,36 000 , 59 000,,47 000 ,37 000 , 58 000,,43 000 ,34 000 , 51 000,,39 000 ,31 000 , 45 000,,36 000 ,30 000 , 42 000,,31 000 ,26 000 , 36 000,,31 000 ,26 000 , 36 000,,29 000 ,24 000 , 33 000,,26 000 ,22 000 , 29 000,,29 000 ,25 000 , 32 000,,30 000 ,26 000 , 34 000,,31 000 ,26 000 , 34 000,,29 000 ,25 000 , 32 000,,25 000 ,21 000 , 29 000,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Democratic Republic of the Congo,13 000 ,9000 , 18 000,,15 000 ,11 000 , 21 000,,17 000 ,12 000 , 23 000,,19 000 ,14 000 , 26 000,,22 000 ,16 000 , 29 000,,24 000 ,18 000 , 32 000,,27 000 ,20 000 , 34 000,,29 000 ,22 000 , 36 000,,31 000 ,24 000 , 39 000,,33 000 ,26 000 , 41 000,,35 000 ,28 000 , 43 000,,37 000 ,29 000 , 45 000,,39 000 ,31 000 , 46 000,,40 000 ,32 000 , 48 000,,41 000 ,33 000 , 48 000,,40 000 ,33 000 , 48 000,,40 000 ,32 000 , 47 000,,38 000 ,31 000 , 45 000,,38 000 ,31 000 , 44 000,,37 000 ,31 000 , 43 000,,35 000 ,29 000 , 40 000,,33 000 ,27 000 , 38 000,,32 000 ,26 000 , 37 000,,28 000 ,22 000 , 34 000,,25 000 ,20 000 , 31 000,,22 000 ,16 000 , 27 000,,19 000 ,13 000 , 24 000,
Denmark,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Djibouti,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1100,,<1000 ,<500 , 1100,,<1000 ,<500 , 1100,,<1000 ,<500 , 1100,,<1000 ,<500 , 1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,
Dominican Republic,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , 1200,,1200 ,<1000 , 1800,,1700 ,1000 , 2400,,2200 ,1400 , 3200,,2800 ,1800 , 4100,,3500 ,2300 , 5000,,4200 ,2800 , 6000,,4900 ,3300 , 7000,,5600 ,3800 , 7900,,6200 ,4300 , 8600,,6700 ,4700 , 9200,,7100 ,5000 , 9700,,7400 ,5300 , 10 000,,7400 ,5400 , 10 000,,6900 ,5000 , 9300,,6300 ,4500 , 8600,,5500 ,3800 , 7600,,4900 ,3300 , 7000,,4400 ,2900 , 6500,,4100 ,2600 , 6000,,3700 ,2300 , 5600,,3400 ,2100 , 5200,,3100 ,1900 , 4900,,2700 ,1600 , 4200,,2200 ,1300 , 3600,
Ecuador,<200 ,<100 , <500,"Historical incidence trends were not available or not reliable.",<200 ,<100 , <500,"Historical incidence trends were not available or not reliable.",<500 ,<200 , <1000,"Historical incidence trends were not available or not reliable.",<500 ,<200 , <1000,"Historical incidence trends were not available or not reliable.",<500 ,<200 , <1000,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , <1000,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , 1000,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , 1200,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , 1300,"Historical incidence trends were not available or not reliable.",1000 ,<1000 , 1500,"Historical incidence trends were not available or not reliable.",1200 ,<1000 , 1600,"Historical incidence trends were not available or not reliable.",1300 ,<1000 , 1700,"Historical incidence trends were not available or not reliable.",1400 ,<1000 , 1800,"Historical incidence trends were not available or not reliable.",1400 ,<1000 , 1900,"Historical incidence trends were not available or not reliable.",1500 ,1100 , 2000,"Historical incidence trends were not available or not reliable.",1400 ,1000 , 1900,"Historical incidence trends were not available or not reliable.",1400 ,1000 , 1900,"Historical incidence trends were not available or not reliable.",1300 ,<1000 , 1800,"Historical incidence trends were not available or not reliable.",1100 ,<1000 , 1600,"Historical incidence trends were not available or not reliable.",<1000 ,<1000 , 1300,"Historical incidence trends were not available or not reliable.",<1000 ,<1000 , 1200,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , 1100,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , 1000,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , 1100,"Historical incidence trends were not available or not reliable.",<1000 ,<1000 , 1300,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , 1200,"Historical incidence trends were not available or not reliable.",<1000 ,<500 , 1100,"Historical incidence trends were not available or not reliable."
Egypt,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,
El Salvador,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,1000 ,<1000 , 1200,,1100 ,<1000 , 1200,,1100 ,<1000 , 1300,,1100 ,<1000 , 1200,,<1000 ,<1000 , 1100,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,
Equatorial Guinea,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1300,,1000 ,<1000 , 1300,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1200 ,<1000 , 1500,,1300 ,<1000 , 1600,,1200 ,<1000 , 1500,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1400,
Eritrea,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<1000 , 1200,,1000 ,<1000 , 1400,,1200 ,<1000 , 1600,,1400 ,<1000 , 1900,,1600 ,1100 , 2000,,1700 ,1200 , 2100,,1700 ,1300 , 2200,,1600 ,1200 , 2000,,1400 ,1000 , 1800,,1200 ,<1000 , 1600,,1100 ,<1000 , 1500,,<1000 ,<1000 , 1400,,<1000 ,<500 , 1300,,<1000 ,<500 , 1300,,<1000 ,<500 , 1200,,<1000 ,<500 , 1100,,<1000 ,<500 , 1000,,<1000 ,<500 , 1000,
Estonia,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
