Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote
Central African Republic,19 000 ,14 000 , 24 000,,23 000 ,18 000 , 29 000,,27 000 ,21 000 , 34 000,,29 000 ,23 000 , 37 000,,29 000 ,23 000 , 37 000,,28 000 ,22 000 , 35 000,,26 000 ,20 000 , 32 000,,22 000 ,18 000 , 28 000,,19 000 ,15 000 , 23 000,,14 000 ,11 000 , 18 000,,12 000 ,9500 , 15 000,,10 000 ,7900 , 13 000,,8800 ,7000 , 12 000,,8200 ,6700 , 10 000,,8400 ,6900 , 10 000,,8100 ,6900 , 9700,,8200 ,6900 , 9800,,8100 ,6700 , 9500,,8500 ,7000 , 10 000,,8600 ,7000 , 10 000,,9000 ,7400 , 11 000,,9100 ,7300 , 11 000,,9300 ,7500 , 11 000,,9600 ,7700 , 12 000,,9400 ,7500 , 12 000,,9200 ,7100 , 12 000,,8700 ,6600 , 12 000,
Chad,6000 ,4400 , 8100,,6900 ,5100 , 9100,,7600 ,5700 , 9800,,8400 ,6400 , 11 000,,9000 ,6900 , 11 000,,9600 ,7500 , 12 000,,10 000 ,7900 , 13 000,,10 000 ,8000 , 13 000,,10 000 ,8300 , 13 000,,11 000 ,8500 , 13 000,,11 000 ,8400 , 13 000,,11 000 ,8400 , 13 000,,10 000 ,8300 , 13 000,,10 000 ,8000 , 13 000,,9600 ,7700 , 12 000,,9100 ,7400 , 11 000,,8500 ,7000 , 10 000,,7700 ,6300 , 9400,,7200 ,5800 , 8700,,6500 ,5200 , 8000,,6200 ,4900 , 7600,,6000 ,4700 , 7300,,5900 ,4600 , 7200,,5500 ,4200 , 6900,,5800 ,4500 , 7300,,5000 ,3700 , 6600,,4800 ,3400 , 6400,
Chile,1200 ,1100 , 1300,,1300 ,1100 , 1400,,1300 ,1200 , 1500,,1400 ,1300 , 1500,,1500 ,1400 , 1600,,1600 ,1500 , 1700,,1700 ,1500 , 1800,,1800 ,1600 , 2000,,1900 ,1700 , 2100,,2000 ,1800 , 2200,,2100 ,1900 , 2300,,2300 ,2000 , 2500,,2400 ,2100 , 2600,,2500 ,2300 , 2800,,2700 ,2400 , 2900,,2800 ,2500 , 3100,,3000 ,2600 , 3300,,3200 ,2800 , 3500,,3300 ,2900 , 3700,,3500 ,3100 , 3900,,3700 ,3200 , 4100,,3900 ,3400 , 4300,,4100 ,3500 , 4500,,4300 ,3700 , 4800,,4500 ,3800 , 5000,,4700 ,4000 , 5300,,5000 ,4200 , 5500,
China,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Colombia,7700 ,3200 , 51 000,,9600 ,4600 , 38 000,,11 000 ,5900 , 38 000,,12 000 ,7200 , 30 000,,12 000 ,8500 , 28 000,,12 000 ,9200 , 25 000,,12 000 ,9100 , 22 000,,12 000 ,8900 , 19 000,,11 000 ,8600 , 17 000,,11 000 ,8200 , 15 000,,7700 ,5700 , 10 000,,7600 ,5800 , 9700,,7800 ,6100 , 9800,,7700 ,6100 , 9700,,7600 ,6100 , 9600,,7800 ,6100 , 9700,,8000 ,6300 , 10 000,,7500 ,5800 , 9400,,6800 ,5000 , 8700,,6900 ,4900 , 8900,,6900 ,5200 , 8900,,6800 ,5100 , 8800,,6500 ,4800 , 8500,,6300 ,4600 , 8300,,6100 ,4400 , 8100,,5800 ,4100 , 7800,,5600 ,3900 , 7500,
Comoros,<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers."
Congo,11 000 ,8800 , 13 000,,12 000 ,9500 , 14 000,,11 000 ,9300 , 14 000,,11 000 ,9100 , 14 000,,9500 ,7700 , 12 000,,7900 ,6500 , 9900,,6900 ,5700 , 8500,,6400 ,5200 , 7600,,5500 ,4600 , 6400,,4600 ,3900 , 5300,,5100 ,4500 , 5800,,4800 ,4200 , 5500,,4700 ,4100 , 5300,,4800 ,4300 , 5600,,5100 ,4500 , 5900,,5200 ,4600 , 5900,,5500 ,4900 , 6300,,5800 ,5200 , 6700,,5900 ,5200 , 6800,,6300 ,5600 , 7300,,6500 ,5700 , 7600,,6600 ,5800 , 7700,,6700 ,5800 , 7900,,7000 ,5800 , 8400,,7300 ,6000 , 9200,,7600 ,5900 , 9600,,7600 ,5400 , 10 000,
Costa Rica,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,
Croatia,<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <200,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <200,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <200,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services.",<100 ,<100 , <100,"Less than 50 pregnant women in need of PMTCT services."
Cuba,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1100 ,<1000 , 1200,,1300 ,1100 , 1400,,1400 ,1200 , 1600,,1600 ,1400 , 1800,,1900 ,1600 , 2000,,2100 ,1700 , 2300,,2400 ,2000 , 2600,,2600 ,2200 , 2900,,2900 ,2400 , 3200,,3300 ,2600 , 3600,
Cyprus,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Czech Republic,<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers."
Côte d'Ivoire,58 000 ,41 000 , 83 000,,65 000 ,45 000 , 90 000,,71 000 ,51 000 , 97 000,,76 000 ,56 000 , 100 000,,78 000 ,59 000 , 100 000,,80 000 ,62 000 , 100 000,,79 000 ,63 000 , 98 000,,77 000 ,63 000 , 91 000,,73 000 ,61 000 , 85 000,,67 000 ,57 000 , 77 000,,62 000 ,53 000 , 70 000,,52 000 ,44 000 , 60 000,,47 000 ,41 000 , 54 000,,43 000 ,36 000 , 48 000,,38 000 ,33 000 , 43 000,,33 000 ,29 000 , 37 000,,31 000 ,27 000 , 34 000,,28 000 ,25 000 , 31 000,,25 000 ,21 000 , 29 000,,27 000 ,22 000 , 31 000,,25 000 ,20 000 , 29 000,,24 000 ,19 000 , 29 000,,24 000 ,18 000 , 29 000,,23 000 ,17 000 , 28 000,,22 000 ,16 000 , 28 000,,21 000 ,15 000 , 27 000,,20 000 ,14 000 , 26 000,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Democratic Republic of the Congo,44 000 ,34 000 , 54 000,,47 000 ,36 000 , 58 000,,50 000 ,39 000 , 60 000,,53 000 ,42 000 , 64 000,,55 000 ,44 000 , 66 000,,57 000 ,46 000 , 68 000,,57 000 ,46 000 , 69 000,,56 000 ,46 000 , 67 000,,55 000 ,45 000 , 66 000,,54 000 ,44 000 , 64 000,,52 000 ,42 000 , 61 000,,48 000 ,39 000 , 57 000,,46 000 ,38 000 , 54 000,,42 000 ,34 000 , 49 000,,38 000 ,31 000 , 46 000,,35 000 ,29 000 , 42 000,,32 000 ,26 000 , 39 000,,29 000 ,23 000 , 35 000,,26 000 ,20 000 , 31 000,,23 000 ,17 000 , 28 000,,21 000 ,16 000 , 26 000,,20 000 ,14 000 , 25 000,,19 000 ,13 000 , 24 000,,17 000 ,12 000 , 23 000,,16 000 ,10 000 , 22 000,,14 000 ,8400 , 20 000,,13 000 ,7200 , 19 000,
Denmark,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Djibouti,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<1000 ,<200 , 1200,,<1000 ,<500 , 1500,,1100 ,<500 , 1800,,1400 ,<1000 , 2100,,1600 ,1000 , 2300,,1700 ,1200 , 2400,,1800 ,1300 , 2500,,1700 ,1200 , 2400,,1700 ,1100 , 2500,,1400 ,<1000 , 2200,,1200 ,<1000 , 1900,,<1000 ,<500 , 1400,,<1000 ,<500 , 1200,,<1000 ,<500 , 1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<500 ,<500 , <1000,
Dominican Republic,8500 ,6100 , 12 000,,11 000 ,7800 , 15 000,,13 000 ,9200 , 18 000,,14 000 ,10 000 , 19 000,,15 000 ,11 000 , 20 000,,15 000 ,11 000 , 20 000,,14 000 ,10 000 , 19 000,,13 000 ,9300 , 17 000,,11 000 ,8200 , 15 000,,9900 ,7200 , 14 000,,8300 ,6000 , 11 000,,7000 ,5000 , 9800,,5900 ,4100 , 8500,,5100 ,3400 , 7300,,4300 ,2900 , 6200,,3900 ,2600 , 5800,,3800 ,2600 , 5700,,3400 ,2300 , 5200,,3200 ,2100 , 4900,,3000 ,2000 , 4700,,2700 ,1800 , 4400,,2700 ,1800 , 4200,,2700 ,1800 , 4100,,2700 ,1900 , 4200,,2700 ,1800 , 4100,,2600 ,1700 , 4000,,2500 ,1600 , 4100,
Ecuador,... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",... ,... , ...,"Historical incidence trends were not available or not reliable.",1900 ,1100 , 2800,"Historical incidence trends were not available or not reliable."
Egypt,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1100 ,<1000 , 1200,,1200 ,1100 , 1300,,1300 ,1200 , 1400,,1400 ,1300 , 1600,,1600 ,1400 , 1700,
El Salvador,1500 ,1300 , 1600,,1600 ,1500 , 1800,,1800 ,1600 , 1900,,1900 ,1700 , 2100,,2000 ,1800 , 2200,,2100 ,1900 , 2300,,2200 ,2000 , 2400,,2200 ,2000 , 2400,,2200 ,2000 , 2400,,2200 ,2000 , 2400,,2100 ,1900 , 2300,,2100 ,1900 , 2300,,2000 ,1800 , 2200,,1900 ,1700 , 2100,,1800 ,1700 , 2000,,1700 ,1600 , 1900,,1700 ,1500 , 1800,,1600 ,1500 , 1700,,1500 ,1400 , 1700,,1500 ,1300 , 1600,,1400 ,1300 , 1500,,1300 ,1200 , 1400,,1200 ,1100 , 1300,,1200 ,1100 , 1200,,1100 ,<1000 , 1200,,1000 ,<1000 , 1100,,<1000 ,<1000 , 1000,
Equatorial Guinea,<1000 ,<500 , 1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1000,,<1000 ,<500 , 1100,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1200,,1000 ,<1000 , 1400,,1100 ,<1000 , 1500,,1300 ,<1000 , 1700,,1500 ,1100 , 1900,,1700 ,1200 , 2100,,1900 ,1400 , 2400,,2100 ,1600 , 2600,,2200 ,1800 , 2800,,2400 ,1900 , 3000,,2500 ,2000 , 3100,,2600 ,2100 , 3100,,2700 ,2200 , 3200,,2700 ,2200 , 3200,,2800 ,2200 , 3500,,2600 ,2000 , 3400,,2700 ,2000 , 3600,,2700 ,1900 , 3700,,2500 ,1600 , 3700,,2300 ,1400 , 3600,,2400 ,1400 , 4000,,2300 ,1200 , 4200,
Eritrea,1100 ,<500 , 2500,,1700 ,<1000 , 3100,,2100 ,1200 , 3400,,2600 ,1700 , 3700,,2800 ,2000 , 3900,,2700 ,2000 , 3700,,2700 ,2000 , 3700,,2600 ,1800 , 3400,,2200 ,1600 , 2900,,2000 ,1400 , 2600,,1700 ,1200 , 2400,,1500 ,<1000 , 2100,,1300 ,<1000 , 2000,,1100 ,<1000 , 1700,,<1000 ,<1000 , 1500,,<1000 ,<500 , 1200,,<1000 ,<500 , 1000,,<500 ,<500 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<200 , 1000,,<1000 ,<500 , 1100,
Estonia,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
